file,num_processes,total_time_ms,throughput_proc_per_ms,avg_wait_ms,avg_turnaround_ms,avg_response_ms
RRexecution1.txt,1,10,0.1,0,10,0
RRexecution10.txt,3,450,0.006667,250,400,100
RRexecution11.txt,2,450,0.004444,148.5,375,50
RRexecution12.txt,2,1010,0.00198,411,928.5,48.5
RRexecution13.txt,2,200,0.01,83,187.5,12.5
RRexecution14.txt,2,200,0.01,40,140,40
RRexecution15.txt,3,906,0.003311,461.67,768.67,66.67
RRexecution16.txt,4,900,0.004444,150,375,150
RRexecution17.txt,2,500,0.004,122.5,375,25
RRexecution18.txt,2,400,0.005,60,380,20
RRexecution19.txt,5,1255,0.003984,822,1081,185
RRexecution2.txt,1,11,0.090909,0,11,0
RRexecution20.txt,4,1150,0.003478,357.5,645,95
RRexecution3.txt,2,15,0.133333,3.5,11,3.5
RRexecution4.txt,2,14,0.142857,1.5,9.5,0
RRexecution5.txt,2,350,0.005714,148.5,323.5,48.5
RRexecution6.txt,2,350,0.005714,148.5,323.5,48.5
RRexecution7.txt,2,14,0.142857,0,11,0
RRexecution8.txt,2,350,0.005714,147,323.5,48.5
RRexecution9.txt,3,450,0.006667,247.33,397.33,97.33
,,,,,,
"CPU Bounded (Tests: 3, 5, 6, 9, 10, 12, 16, 20)",2.75,584.375,0.020999625,214.54125,425.47875,73.91625
,,,,,,
"I/O Bounded (Tests: 2, 4, 7, 8, 11, 14, 18)",1.857142857,205.5714286,0.057397286,56.71428571,178.5714286,22.64285714
,,,,,,
"Mixed CPU & I/O (Tests: 1, 13, 15, 17, 19)",2.6,574.2,0.024259,297.834,484.434,57.834
